Agency,Docket,Comments,Any Resources Measure,Percent,FDIC Assets,501c3 Assets,Assets (Credit Unions),501c3 Revenue,Market Cap,marketcap2,MeanLobbyingAmount,TotalLobbyingAmount,Campaign Donations,TotalContribAmount,MeanContribAmountPerYearContributed
FDIC,3064-AD73,18,4,22%,0,4,0,4,0,0,2,2,2,2,2
FDIC,3064-AD74,292,115,39%,3,112,0,112,1,1,79,79,79,79,79
FDIC,3064-AD77,19,7,37%,0,7,0,7,0,0,4,4,4,4,4
FDIC,3064-AD78,6,2,33%,0,2,0,2,0,0,0,0,0,0,0
FDIC,3064-AD79,90,29,32%,1,28,0,28,1,1,19,19,19,19,19
FDIC,3064-AD81,6,1,17%,0,1,0,1,0,0,0,0,0,0,0
FDIC,3064-AD82,3,2,67%,0,2,0,2,0,0,1,1,1,1,1
FDIC,3064-AD84,1,0,0%,0,0,0,0,0,0,0,0,0,0,0
FDIC,3064-AD88,2,1,50%,0,1,0,1,0,0,0,0,0,0,0
FDIC,3064-AD89,5,0,0%,0,0,0,0,0,0,0,0,0,0,0
FDIC,NA,42,12,29%,0,12,0,12,0,0,6,6,6,6,6
FRS,R-1391,21,12,57%,3,12,0,12,4,4,13,13,13,13,13
FRS,R-1392_V1,15,12,80%,5,9,0,9,0,0,8,8,8,8,8
FRS,R-1394_V1,843,249,30%,25,242,8,242,10,10,155,155,155,155,155
FRS,R-1397,13,9,69%,0,8,0,8,2,2,8,8,8,8,8
FRS,R-1399_V1,16,11,69%,3,10,0,10,2,2,11,11,11,11,11
FRS,R-1400_V1,2,2,100%,0,2,0,2,0,0,2,2,2,2,2
FRS,R-1401,10,3,30%,2,3,0,3,1,1,6,6,6,6,6
FRS,R-1401_V2,32,17,53%,7,14,0,14,6,6,19,19,19,19,19
FRS,R-1404,1502,631,42%,225,536,8,536,86,86,392,392,392,392,392
FRS,R-1405,22,15,68%,1,14,0,14,3,3,16,16,16,16,16
FRS,R-1407_V1,33,22,67%,3,19,0,19,2,2,22,22,22,22,22
FRS,R-1410,169,53,31%,4,49,0,49,4,4,35,35,35,35,35
FRS,R-1411,576,289,50%,41,269,2,269,25,25,262,262,262,262,262
FRS,R-1412,10,5,50%,1,4,0,4,0,0,2,2,2,2,2
FRS,R-1413,57,45,79%,30,35,1,35,9,9,23,23,23,23,23
FRS,R-1414,21,15,71%,3,14,0,14,5,5,10,10,10,10,10
FRS,R-1415,9,5,56%,0,4,0,4,1,1,5,5,5,5,5
FRS,R-1417_V1,785,309,39%,53,284,5,284,22,22,196,196,196,196,196
FRS,R-1419,66,42,64%,13,33,0,33,8,8,35,35,35,35,35
FRS,R-1426,5,3,60%,0,3,0,3,0,0,3,3,3,3,3
FRS,R-1428,6,2,33%,1,2,0,2,1,1,1,1,1,1,1
FRS,R-1430,5,1,20%,0,1,0,1,0,0,2,2,2,2,2
FRS,R-1432,481,198,41%,30,176,2,176,37,37,182,182,182,182,182
FRS,R-1438,156,92,59%,17,75,0,75,27,27,78,78,78,78,78
FRS,R-1438_V1,4,3,75%,2,2,0,2,1,1,0,0,0,0,0
FRS,R-1442,1257,989,79%,790,621,51,621,191,191,524,524,524,524,524
FRS,R-1443_V1,48,34,71%,20,25,1,25,9,9,23,23,23,23,23
FRS,R-1443_V2,12,5,42%,1,5,0,5,1,1,7,7,7,7,7
FRS,R-1443_V3,1,0,0%,0,0,0,0,0,0,0,0,0,0,0
FRS,R-1455,5,3,60%,0,3,0,3,0,0,3,3,3,3,3
FRS,R-1457,18,12,67%,0,12,0,12,2,2,15,15,15,15,15
FRS,R-1458,4,3,75%,0,3,0,3,0,0,2,2,2,2,2
FRS,R-1460_V1,24,13,54%,3,13,0,13,2,2,9,9,9,9,9
FRS,R-1463,2,0,0%,0,0,0,0,0,0,0,0,0,0,0
FRS,R-1476_V1,9,8,89%,0,8,0,8,0,0,4,4,4,4,4
FRS,R-1480,17,6,35%,1,5,0,5,0,0,7,7,7,7,7
FRS,R-1482_V1,5,3,60%,2,2,0,2,1,1,0,0,0,0,0
FRS,R-1486_V1,41,16,39%,3,13,0,13,0,0,10,10,10,10,10
FRS,R-1487,8,6,75%,2,6,0,6,2,2,5,5,5,5,5
FRS,R-1488,2,2,100%,1,1,0,1,0,0,2,2,2,2,2
FRS,R-1489,10,8,80%,0,8,0,8,0,0,8,8,8,8,8
FRS,R-1492,18,13,72%,7,11,0,11,8,8,14,14,14,14,14
FRS,R-1505,19,13,68%,3,13,0,13,3,3,12,12,12,12,12
FRS,R-1529,2,2,100%,0,2,0,2,0,0,2,2,2,2,2
FRS,R-1534,26,18,69%,6,14,0,14,7,7,17,17,17,17,17
FRS,R-1535,1,1,100%,0,1,0,1,0,0,1,1,1,1,1
FRS,R-1536,65,41,63%,4,38,0,38,6,6,33,33,33,33,33
FRS,R-1537,29,20,69%,6,16,0,16,6,6,21,21,21,21,21
FRS,R-1538,26,14,54%,2,14,0,14,0,0,17,17,17,17,17
FRS,R-1539,27,17,63%,5,14,2,14,5,5,20,20,20,20,20
FRS,R-1540,13,7,54%,1,6,0,6,2,2,8,8,8,8,8
FRS,R-1548,12,9,75%,2,6,0,6,3,3,7,7,7,7,7
FRS,R-1550,52,18,35%,0,16,0,16,3,3,23,23,23,23,23
FRS,R–1405,9,6,67%,0,6,0,6,0,0,5,5,5,5,5
FRS,R–1415,17,11,65%,2,10,0,10,1,1,5,5,5,5,5
FRS,R–1477,6,1,17%,0,1,0,1,0,0,3,3,3,3,3
NCUA,3133-AE22,33,14,42%,0,14,0,14,0,0,7,7,7,7,7
NCUA,Proposed Interagency Policy Statement Establishing Joint Standards for Assessing the Diversity Policies and Practices of Entities Regulated by the Agencies and Request for Comment,14,7,50%,0,7,0,7,0,0,8,8,8,8,8
NCUA,Share Insurance and Appendix,17,9,53%,0,9,0,9,0,0,5,5,5,5,5
OCC,OCC-2010-0009-,12,6,50%,1,6,0,6,0,0,7,7,7,7,7
OCC,OCC-2010-0016-,16,10,62%,3,8,0,8,3,3,9,9,9,9,9
OCC,OCC-2010-0017-,2,2,100%,2,0,0,0,0,0,0,0,0,0,0
OCC,OCC-2011-0001-,70,39,56%,6,36,0,36,6,6,34,34,34,34,34
OCC,OCC-2011-0002-,145,67,46%,13,57,1,57,8,8,59,59,59,59,59
OCC,OCC-2011-0006-,18,13,72%,2,13,0,13,1,1,8,8,8,8,8
OCC,OCC-2011-0007-,1,1,100%,1,0,0,0,0,0,0,0,0,0,0
OCC,OCC-2011-0008-,137,71,52%,3,68,0,68,5,5,52,52,52,52,52
OCC,OCC-2011-0014-,303,141,47%,32,116,2,116,37,37,139,139,139,139,139
OCC,OCC-2011-0016-,7,6,86%,0,6,0,6,0,0,4,4,4,4,4
OCC,OCC-2011-0029-,15,11,73%,3,10,0,10,2,2,8,8,8,8,8
OCC,OCC-2012-0007-,7,4,57%,2,3,0,3,1,1,4,4,4,4,4
OCC,OCC-2012-0008-,1690,1326,78%,1073,797,66,797,202,202,630,630,630,630,630
